Date,Open,High,Low,Close,Adj Close,Volume,Name
2020-03-02,282.279999,301.440002,277.720001,298.809998,298.003296,85349300,AAPL
2020-03-03,303.670013,304,285.799988,289.320007,288.53894,79868900,AAPL
2020-03-04,296.440002,303.399994,293.130005,302.73999,301.922699,54794600,AAPL
2020-03-05,295.519989,299.549988,291.410004,292.920013,292.129211,46893200,AAPL
2020-03-06,282,290.820007,281.230011,289.029999,288.249725,56544200,AAPL
2020-03-09,263.75,278.089996,263,266.170013,265.451447,71686200,AAPL
2020-03-10,277.140015,286.440002,269.369995,285.339996,284.569672,71322500,AAPL
2020-03-11,277.390015,281.220001,271.859985,275.429993,274.686432,63899700,AAPL
2020-03-12,255.940002,270,248,248.229996,247.55986,104618500,AAPL
2020-03-13,264.890015,279.920013,252.949997,277.970001,277.219574,92683000,AAPL
2020-03-16,241.949997,259.079987,240,242.210007,241.556122,80605900,AAPL
2020-03-17,247.509995,257.609985,238.399994,252.860001,252.177368,81014000,AAPL
2020-03-18,239.770004,250,237.119995,246.669998,246.004074,75058400,AAPL
2020-03-19,247.389999,252.839996,242.610001,244.779999,244.119171,67964300,AAPL
2020-03-20,247.179993,251.830002,228,229.240005,228.62114,100423300,AAPL
2020-03-23,228.080002,228.5,212.610001,224.369995,223.764267,84188200,AAPL
2020-03-24,236.360001,247.690002,234.300003,246.880005,246.213516,71882800,AAPL
2020-03-25,250.75,258.25,244.300003,245.520004,244.857178,75900500,AAPL
2020-03-26,246.520004,258.679993,246.360001,258.440002,257.74231,63021800,AAPL
2020-03-27,252.75,255.869995,247.050003,247.740005,247.071182,51054200,AAPL
2020-03-30,250.740005,255.520004,249.399994,254.809998,254.122101,41994100,AAPL
2020-03-31,255.600006,262.48999,252,254.289993,253.6035,49250500,AAPL
