Date,Open,High,Low,Close,Adj Close,Volume,Name
2020-01-02,296.23999,300.600006,295.190002,300.350006,298.829956,33870100,AAPL
2020-01-03,297.149994,300.579987,296.5,297.429993,295.924713,36580700,AAPL
2020-01-06,293.790009,299.959991,292.75,299.799988,298.282715,29596800,AAPL
2020-01-07,299.839996,300.899994,297.480011,298.390015,296.879883,27218000,AAPL
2020-01-08,297.160004,304.440002,297.160004,303.190002,301.655548,33019800,AAPL
2020-01-09,307.23999,310.429993,306.200012,309.630005,308.062988,42527100,AAPL
2020-01-10,310.600006,312.670013,308.25,310.329987,308.759399,35161200,AAPL
2020-01-13,311.640015,317.070007,311.149994,316.959991,315.355865,30383000,AAPL
2020-01-14,316.700012,317.570007,312.170013,312.679993,311.097534,40488600,AAPL
2020-01-15,311.850006,315.5,309.549988,311.339996,309.764313,30480900,AAPL
2020-01-16,313.589996,315.700012,312.089996,315.23999,313.644562,27207300,AAPL
2020-01-17,316.269989,318.73999,315,318.730011,317.116943,34454100,AAPL
2020-01-21,317.190002,319.019989,316,316.570007,314.967865,27710800,AAPL
2020-01-22,318.579987,319.98999,317.309998,317.700012,316.092163,25458100,AAPL
2020-01-23,317.920013,319.559998,315.649994,319.230011,317.61441,26118000,AAPL
2020-01-24,320.25,323.329987,317.519989,318.309998,316.699036,36634400,AAPL
2020-01-27,310.059998,311.769989,304.880005,308.950012,307.386414,40485000,AAPL
2020-01-28,312.600006,318.399994,312.190002,317.690002,316.082184,40558500,AAPL
2020-01-29,324.450012,327.850006,321.380005,324.339996,322.698517,54057300,AAPL
2020-01-30,320.540009,324.089996,318.75,323.869995,322.230896,31685800,AAPL
2020-01-31,320.929993,322.679993,308.290009,309.51001,307.943604,49897100,AAPL
