Date,Open,High,Low,Close,Adj Close,Volume,Name
2020-04-01,246.5,248.720001,239.130005,240.910004,240.259628,44054600,AAPL
2020-04-02,240.339996,245.149994,236.899994,244.929993,244.268768,41483500,AAPL
2020-04-03,242.800003,245.699997,238.970001,241.410004,240.75827,32470000,AAPL
2020-04-06,250.899994,263.109985,249.380005,262.470001,261.761414,50455100,AAPL
2020-04-07,270.799988,271.700012,259,259.429993,258.729614,50721800,AAPL
2020-04-08,262.73999,267.369995,261.230011,266.070007,265.351715,42223800,AAPL
2020-04-09,268.700012,270.070007,264.700012,267.98999,267.26651,40529100,AAPL
2020-04-13,268.309998,273.700012,265.829987,273.25,272.512329,32755700,AAPL
2020-04-14,280,288.25,278.049988,287.049988,286.275055,48748700,AAPL
2020-04-15,282.399994,286.329987,280.630005,284.429993,283.66214,32788600,AAPL
2020-04-16,287.380005,288.200012,282.350006,286.690002,285.916046,39281300,AAPL
2020-04-17,284.690002,286.950012,276.859985,282.799988,282.03653,53812500,AAPL
2020-04-20,277.950012,281.679993,276.850006,276.929993,276.182373,32503800,AAPL
2020-04-21,276.279999,277.25,265.429993,268.369995,267.645477,45247900,AAPL
2020-04-22,273.609985,277.899994,272.200012,276.100006,275.354614,29264300,AAPL
2020-04-23,275.869995,281.75,274.869995,275.029999,274.287506,31203600,AAPL
2020-04-24,277.200012,283.01001,277,282.970001,282.206085,31627200,AAPL
2020-04-27,281.799988,284.540009,279.950012,283.170013,282.405548,29271900,AAPL
2020-04-28,285.079987,285.829987,278.200012,278.579987,277.827911,28001200,AAPL
2020-04-29,284.730011,289.670013,283.890015,287.730011,286.953247,34320200,AAPL
2020-04-30,289.959991,294.529999,288.350006,293.799988,293.006836,45457600,AAPL
